industry,avg_annual_pay,year,source
"Agriculture, forestry, fishing and hunting",48984,2025,"BLS QCEW 2025 annual averages, national (area US000), avg annual pay, total covered; https://data.bls.gov/cew/data/api/2025/a/area/US000.csv"
"Mining, quarrying, and oil and gas extraction",133472,2025,"BLS QCEW 2025 annual averages, national (area US000), avg annual pay, total covered; https://data.bls.gov/cew/data/api/2025/a/area/US000.csv"
Utilities,128512,2025,"BLS QCEW 2025 annual averages, national (area US000), avg annual pay, total covered; https://data.bls.gov/cew/data/api/2025/a/area/US000.csv"
Construction,84504,2025,"BLS QCEW 2025 annual averages, national (area US000), avg annual pay, total covered; https://data.bls.gov/cew/data/api/2025/a/area/US000.csv"
Manufacturing,89545,2025,"BLS QCEW 2025 annual averages, national (area US000), avg annual pay, total covered; https://data.bls.gov/cew/data/api/2025/a/area/US000.csv"
Wholesale trade,105838,2025,"BLS QCEW 2025 annual averages, national (area US000), avg annual pay, total covered; https://data.bls.gov/cew/data/api/2025/a/area/US000.csv"
Retail trade,43454,2025,"BLS QCEW 2025 annual averages, national (area US000), avg annual pay, total covered; https://data.bls.gov/cew/data/api/2025/a/area/US000.csv"
Transportation and warehousing,70063,2025,"BLS QCEW 2025 annual averages, national (area US000), avg annual pay, total covered; https://data.bls.gov/cew/data/api/2025/a/area/US000.csv"
Information,184220,2025,"BLS QCEW 2025 annual averages, national (area US000), avg annual pay, total covered; https://data.bls.gov/cew/data/api/2025/a/area/US000.csv"
Finance and insurance,152846,2025,"BLS QCEW 2025 annual averages, national (area US000), avg annual pay, total covered; https://data.bls.gov/cew/data/api/2025/a/area/US000.csv"
Real estate and rental and leasing,80028,2025,"BLS QCEW 2025 annual averages, national (area US000), avg annual pay, total covered; https://data.bls.gov/cew/data/api/2025/a/area/US000.csv"
"Professional, scientific, and technical services",134893,2025,"BLS QCEW 2025 annual averages, national (area US000), avg annual pay, total covered; https://data.bls.gov/cew/data/api/2025/a/area/US000.csv"
Management of companies and enterprises,165866,2025,"BLS QCEW 2025 annual averages, national (area US000), avg annual pay, total covered; https://data.bls.gov/cew/data/api/2025/a/area/US000.csv"
Administrative and support and waste management services,60073,2025,"BLS QCEW 2025 annual averages, national (area US000), avg annual pay, total covered; https://data.bls.gov/cew/data/api/2025/a/area/US000.csv"
Educational services,66048,2025,"BLS QCEW 2025 annual averages, national (area US000), avg annual pay, total covered; https://data.bls.gov/cew/data/api/2025/a/area/US000.csv"
Health care and social assistance,68445,2025,"BLS QCEW 2025 annual averages, national (area US000), avg annual pay, total covered; https://data.bls.gov/cew/data/api/2025/a/area/US000.csv"
"Arts, entertainment, and recreation",51215,2025,"BLS QCEW 2025 annual averages, national (area US000), avg annual pay, total covered; https://data.bls.gov/cew/data/api/2025/a/area/US000.csv"
Accommodation and food services,30935,2025,"BLS QCEW 2025 annual averages, national (area US000), avg annual pay, total covered; https://data.bls.gov/cew/data/api/2025/a/area/US000.csv"
Other services (except public administration),54509,2025,"BLS QCEW 2025 annual averages, national (area US000), avg annual pay, total covered; https://data.bls.gov/cew/data/api/2025/a/area/US000.csv"
Public administration,87620,2025,"BLS QCEW 2025 annual averages, national (area US000), avg annual pay, total covered; https://data.bls.gov/cew/data/api/2025/a/area/US000.csv"
